respondent_id,timestamp,username,question_num,score,score_text,weighted_score
1,7/6/2025 11:44:58,User1,1,2,2: あまり本人らしくない,0.86
1,7/6/2025 11:44:58,User1,2,4,4: やや本人らしい,0.86
1,7/6/2025 11:44:58,User1,3,5,5: かなり本人らしい,0.86
1,7/6/2025 11:44:58,User1,4,3,3: 本人らしさは出ていない,0.86
1,7/6/2025 11:44:58,User1,5,2,2: あまり本人らしくない,0.86
1,7/6/2025 11:44:58,User1,6,3,3: 本人らしさは出ていない,0.86
1,7/6/2025 11:44:58,User1,7,3,3: 本人らしさは出ていない,0.86
1,7/6/2025 11:44:58,User1,8,4,4: やや本人らしい,0.86
1,7/6/2025 11:44:58,User1,9,5,5: かなり本人らしい,0.86
1,7/6/2025 11:44:58,User1,10,4,4: やや本人らしい,0.86
1,7/6/2025 11:44:58,User1,11,2,2: あまり本人らしくない,0.86
1,7/6/2025 11:44:58,User1,12,4,4: やや本人らしい,0.86
1,7/6/2025 11:44:58,User1,13,5,5: かなり本人らしい,0.86
1,7/6/2025 11:44:58,User1,14,2,2: あまり本人らしくない,0.86
1,7/6/2025 11:44:58,User1,15,1,1: 全く本人らしくない,0.86
1,7/6/2025 11:44:58,User1,16,4,4: やや本人らしい,0.86
1,7/6/2025 11:44:58,User1,17,3,3: 本人らしさは出ていない,0.86
1,7/6/2025 11:44:58,User1,18,3,3: 本人らしさは出ていない,0.86
1,7/6/2025 11:44:58,User1,19,5,5: かなり本人らしい,0.86
1,7/6/2025 11:44:58,User1,20,1,1: 全く本人らしくない,0.86
1,7/6/2025 11:44:58,User1,21,2,2: あまり本人らしくない,0.86
1,7/6/2025 11:44:58,User1,22,2,2: あまり本人らしくない,0.86
1,7/6/2025 11:44:58,User1,23,2,2: あまり本人らしくない,0.86
1,7/6/2025 11:44:58,User1,24,4,4: やや本人らしい,0.86
1,7/6/2025 11:44:58,User1,25,1,1: 全く本人らしくない,0.86
1,7/6/2025 11:44:58,User1,26,5,5: かなり本人らしい,0.86
1,7/6/2025 11:44:58,User1,27,4,4: やや本人らしい,0.86
1,7/6/2025 11:44:58,User1,28,2,2: あまり本人らしくない,0.86
1,7/6/2025 11:44:58,User1,29,3,3: 本人らしさは出ていない,0.86
1,7/6/2025 11:44:58,User1,30,4,4: やや本人らしい,0.86
2,7/6/2025 13:27:43,User2,1,3,3: 本人らしさは出ていない,0.55
2,7/6/2025 13:27:43,User2,2,4,4: やや本人らしい,0.55
2,7/6/2025 13:27:43,User2,3,2,2: あまり本人らしくない,0.55
2,7/6/2025 13:27:43,User2,4,2,2: あまり本人らしくない,0.55
2,7/6/2025 13:27:43,User2,5,2,2: あまり本人らしくない,0.55
2,7/6/2025 13:27:43,User2,6,1,1: 全く本人らしくない,0.55
2,7/6/2025 13:27:43,User2,7,3,3: 本人らしさは出ていない,0.55
2,7/6/2025 13:27:43,User2,8,3,3: 本人らしさは出ていない,0.55
2,7/6/2025 13:27:43,User2,9,5,5: かなり本人らしい,0.55
2,7/6/2025 13:27:43,User2,10,4,4: やや本人らしい,0.55
2,7/6/2025 13:27:43,User2,11,3,3: 本人らしさは出ていない,0.55
2,7/6/2025 13:27:43,User2,12,3,3: 本人らしさは出ていない,0.55
2,7/6/2025 13:27:43,User2,13,4,4: やや本人らしい,0.55
2,7/6/2025 13:27:43,User2,14,4,4: やや本人らしい,0.55
2,7/6/2025 13:27:43,User2,15,4,4: やや本人らしい,0.55
2,7/6/2025 13:27:43,User2,16,4,4: やや本人らしい,0.55
2,7/6/2025 13:27:43,User2,17,4,4: やや本人らしい,0.55
2,7/6/2025 13:27:43,User2,18,2,2: あまり本人らしくない,0.55
2,7/6/2025 13:27:43,User2,19,4,4: やや本人らしい,0.55
2,7/6/2025 13:27:43,User2,20,1,1: 全く本人らしくない,0.55
2,7/6/2025 13:27:43,User2,21,3,3: 本人らしさは出ていない,0.55
2,7/6/2025 13:27:43,User2,22,4,4: やや本人らしい,0.55
2,7/6/2025 13:27:43,User2,23,2,2: あまり本人らしくない,0.55
2,7/6/2025 13:27:43,User2,24,2,2: あまり本人らしくない,0.55
2,7/6/2025 13:27:43,User2,25,1,1: 全く本人らしくない,0.55
2,7/6/2025 13:27:43,User2,26,4,4: やや本人らしい,0.55
2,7/6/2025 13:27:43,User2,27,4,4: やや本人らしい,0.55
2,7/6/2025 13:27:43,User2,28,3,3: 本人らしさは出ていない,0.55
2,7/6/2025 13:27:43,User2,29,3,3: 本人らしさは出ていない,0.55
2,7/6/2025 13:27:43,User2,30,4,4: やや本人らしい,0.55
3,7/8/2025 19:26:22,User3,1,1,1: 全く本人らしくない,0.76
3,7/8/2025 19:26:22,User3,2,3,3: 本人らしさは出ていない,0.76
3,7/8/2025 19:26:22,User3,3,2,2: あまり本人らしくない,0.76
3,7/8/2025 19:26:22,User3,4,3,3: 本人らしさは出ていない,0.76
3,7/8/2025 19:26:22,User3,5,4,4: やや本人らしい,0.76
3,7/8/2025 19:26:22,User3,6,2,2: あまり本人らしくない,0.76
3,7/8/2025 19:26:22,User3,7,1,1: 全く本人らしくない,0.76
3,7/8/2025 19:26:22,User3,8,4,4: やや本人らしい,0.76
3,7/8/2025 19:26:22,User3,9,5,5: かなり本人らしい,0.76
3,7/8/2025 19:26:22,User3,10,4,4: やや本人らしい,0.76
3,7/8/2025 19:26:22,User3,11,3,3: 本人らしさは出ていない,0.76
3,7/8/2025 19:26:22,User3,12,4,4: やや本人らしい,0.76
3,7/8/2025 19:26:22,User3,13,3,3: 本人らしさは出ていない,0.76
3,7/8/2025 19:26:22,User3,14,4,4: やや本人らしい,0.76
3,7/8/2025 19:26:22,User3,15,4,4: やや本人らしい,0.76
3,7/8/2025 19:26:22,User3,16,5,5: かなり本人らしい,0.76
3,7/8/2025 19:26:22,User3,17,4,4: やや本人らしい,0.76
3,7/8/2025 19:26:22,User3,18,4,4: やや本人らしい,0.76
3,7/8/2025 19:26:22,User3,19,5,5: かなり本人らしい,0.76
3,7/8/2025 19:26:22,User3,20,3,3: 本人らしさは出ていない,0.76
3,7/8/2025 19:26:22,User3,21,2,2: あまり本人らしくない,0.76
3,7/8/2025 19:26:22,User3,22,4,4: やや本人らしい,0.76
3,7/8/2025 19:26:22,User3,23,3,3: 本人らしさは出ていない,0.76
3,7/8/2025 19:26:22,User3,24,3,3: 本人らしさは出ていない,0.76
3,7/8/2025 19:26:22,User3,25,1,1: 全く本人らしくない,0.76
3,7/8/2025 19:26:22,User3,26,3,3: 本人らしさは出ていない,0.76
3,7/8/2025 19:26:22,User3,27,5,5: かなり本人らしい,0.76
3,7/8/2025 19:26:22,User3,28,3,3: 本人らしさは出ていない,0.76
3,7/8/2025 19:26:22,User3,29,2,2: あまり本人らしくない,0.76
3,7/8/2025 19:26:22,User3,30,2,2: あまり本人らしくない,0.76
4,7/8/2025 20:33:03,User4,1,2,2: あまり本人らしくない,1.39
4,7/8/2025 20:33:03,User4,2,2,2: あまり本人らしくない,1.39
4,7/8/2025 20:33:03,User4,3,3,3: 本人らしさは出ていない,1.39
4,7/8/2025 20:33:03,User4,4,1,1: 全く本人らしくない,1.39
4,7/8/2025 20:33:03,User4,5,1,1: 全く本人らしくない,1.39
4,7/8/2025 20:33:03,User4,6,3,3: 本人らしさは出ていない,1.39
4,7/8/2025 20:33:03,User4,7,4,4: やや本人らしい,1.39
4,7/8/2025 20:33:03,User4,8,4,4: やや本人らしい,1.39
4,7/8/2025 20:33:03,User4,9,4,4: やや本人らしい,1.39
4,7/8/2025 20:33:03,User4,10,3,3: 本人らしさは出ていない,1.39
4,7/8/2025 20:33:03,User4,11,1,1: 全く本人らしくない,1.39
4,7/8/2025 20:33:03,User4,12,3,3: 本人らしさは出ていない,1.39
4,7/8/2025 20:33:03,User4,13,2,2: あまり本人らしくない,1.39
4,7/8/2025 20:33:03,User4,14,3,3: 本人らしさは出ていない,1.39
4,7/8/2025 20:33:03,User4,15,3,3: 本人らしさは出ていない,1.39
4,7/8/2025 20:33:03,User4,16,4,4: やや本人らしい,1.39
4,7/8/2025 20:33:03,User4,17,5,5: かなり本人らしい,1.39
4,7/8/2025 20:33:03,User4,18,3,3: 本人らしさは出ていない,1.39
4,7/8/2025 20:33:03,User4,19,5,5: かなり本人らしい,1.39
4,7/8/2025 20:33:03,User4,20,1,1: 全く本人らしくない,1.39
4,7/8/2025 20:33:03,User4,21,5,5: かなり本人らしい,1.39
4,7/8/2025 20:33:03,User4,22,3,3: 本人らしさは出ていない,1.39
4,7/8/2025 20:33:03,User4,23,3,3: 本人らしさは出ていない,1.39
4,7/8/2025 20:33:03,User4,24,2,2: あまり本人らしくない,1.39
4,7/8/2025 20:33:03,User4,25,1,1: 全く本人らしくない,1.39
4,7/8/2025 20:33:03,User4,26,2,2: あまり本人らしくない,1.39
4,7/8/2025 20:33:03,User4,27,3,3: 本人らしさは出ていない,1.39
4,7/8/2025 20:33:03,User4,28,3,3: 本人らしさは出ていない,1.39
4,7/8/2025 20:33:03,User4,29,3,3: 本人らしさは出ていない,1.39
4,7/8/2025 20:33:03,User4,30,3,3: 本人らしさは出ていない,1.39
5,7/12/2025 7:40:53,User5,1,4,4: やや本人らしい,0.87
5,7/12/2025 7:40:53,User5,2,4,4: やや本人らしい,0.87
5,7/12/2025 7:40:53,User5,3,5,5: かなり本人らしい,0.87
5,7/12/2025 7:40:53,User5,4,1,1: 全く本人らしくない,0.87
5,7/12/2025 7:40:53,User5,5,5,5: かなり本人らしい,0.87
5,7/12/2025 7:40:53,User5,6,2,2: あまり本人らしくない,0.87
5,7/12/2025 7:40:53,User5,7,3,3: 本人らしさは出ていない,0.87
5,7/12/2025 7:40:53,User5,8,2,2: あまり本人らしくない,0.87
5,7/12/2025 7:40:53,User5,9,5,5: かなり本人らしい,0.87
5,7/12/2025 7:40:53,User5,10,4,4: やや本人らしい,0.87
5,7/12/2025 7:40:53,User5,11,4,4: やや本人らしい,0.87
5,7/12/2025 7:40:53,User5,12,5,5: かなり本人らしい,0.87
5,7/12/2025 7:40:53,User5,13,4,4: やや本人らしい,0.87
5,7/12/2025 7:40:53,User5,14,4,4: やや本人らしい,0.87
5,7/12/2025 7:40:53,User5,15,2,2: あまり本人らしくない,0.87
5,7/12/2025 7:40:53,User5,16,5,5: かなり本人らしい,0.87
5,7/12/2025 7:40:53,User5,17,4,4: やや本人らしい,0.87
5,7/12/2025 7:40:53,User5,18,4,4: やや本人らしい,0.87
5,7/12/2025 7:40:53,User5,19,5,5: かなり本人らしい,0.87
5,7/12/2025 7:40:53,User5,20,2,2: あまり本人らしくない,0.87
5,7/12/2025 7:40:53,User5,21,2,2: あまり本人らしくない,0.87
5,7/12/2025 7:40:53,User5,22,5,5: かなり本人らしい,0.87
5,7/12/2025 7:40:53,User5,23,3,3: 本人らしさは出ていない,0.87
5,7/12/2025 7:40:53,User5,24,1,1: 全く本人らしくない,0.87
5,7/12/2025 7:40:53,User5,25,2,2: あまり本人らしくない,0.87
5,7/12/2025 7:40:53,User5,26,4,4: やや本人らしい,0.87
5,7/12/2025 7:40:53,User5,27,4,4: やや本人らしい,0.87
5,7/12/2025 7:40:53,User5,28,4,4: やや本人らしい,0.87
5,7/12/2025 7:40:53,User5,29,4,4: やや本人らしい,0.87
5,7/12/2025 7:40:53,User5,30,5,5: かなり本人らしい,0.87
